dia,materia,assunto,num,fonte,enunciado,A,B,C,D,E,gabarito,imagens
1,FILOSOFIA,FILOSOFIA MODERNA,3,ENEM 2022 PPL -- FIL,"**

A um príncipe, portanto, não é necessário ter de fato todas as
qualidades, mas é indispensável parecer tê-las. Aliás, ousarei dizer
que, se as tiver e utilizar sempre, serão danosas, enquanto, se parecer
tê-las, serão úteis. Assim, deves parecer clemente, fiel, humano,
íntegro, religioso --- e sê-lo, mas com a condição de estares com o
ânimo disposto a, quando necessário, não o seres, de modo que possas e
saibas como tornar-te o contrário.

 

Segundo o autor, a conquista e a conservação do poder político exigem a",flexibilidade moral do monarca.,retomada dos valores cristãos.,consulta periódica dos cidadãos.,adoção do imperativo categórico.,liberdade incondicional do estadista.,B,
1,FILOSOFIA,FILOSOFIA MODERNA,4,ENEM 2021 -- FIL,"**

A filosofia é como uma árvore, cujas raízes são a metafísica: o tronco,
a física, e os ramos que saem do tronco são todas as outras ciências,
que se reduzem a três principais: a medicina, a mecânica e a moral,
entendendo por moral a mais elevada e a mais perfeita porque pressupõe
um saber integral das outras ciências, e é o último grau da sabedoria.

DESCARTES. R Principios da Alosofis Luboa Edições TO. 1997 (adaptado)

 

Essa construção alegórica de Descartes, acerca da condição
epistemológica da filosofia, tem como objetivo",sustentar a unidade essencial do conhecimento.,refutar o elemento fundamental das crenças.,impulsionar o pensamento especulativo.,recepcionar o método experimental.,incentivar a suspensão dos juízos.,B,
1,FILOSOFIA,FILOSOFIA MODERNA,5,ENEM 2020 PPL -- FIL,"**

Na primeira meditação, eu exponho as razões pelas quais nós podemos
duvidar de todas as coisas e, particularmente das coisas materiais, pelo
menos enquanto não tivermos outros fundamentos nas ciências além dos que
tivemos até o presente. Na segunda meditação, o espírito reconhece
entretanto que é absolutamente impossível que ele mesmo, o espírito, não
exista.

O instrumento intelectual empregado por Descartes para analisar os seus
próprios pensamentos tem como objetivo",identificar um ponto de partida para a consolidação de um conhecimento seguro.,observar os eventos particulares para a formação de um entendimento universal.,analisar as necessidades humanas para a construção de um saber empírico.,estabelecer uma base cognitiva para assegurar a valorização da memória.,investigar totalidades estruturadas para dotá-las de significação.,E,
1,FILOSOFIA,FILOSOFIA MODERNA,6,ENEM 2021 -- FIL,"**

No semiárido brasileiro, o sertanejo desenvolveu uma acuidade detalhada
para a observação dos fenômenos, ao longo dos tempos, presenciados na
natureza, em especial para a previsão do tempo e do clima, utilizando
como referência a posição dos astros, constelação e nuvens. Conforme os
sertanejos, a estação vai ser chuvosa quando a primeira lua cheia de
janeiro ""sair vermelha, por detrás de uma barra de nuvens"", mas ""se
surgir prateada, é sinal de seca"".

 

O texto expõe a produção de um conhecimento que se constitui pela",técnica cientifica.,experiência perceptiva.,negação das tradições.,padronização das culturas.,uniformização das informações.,A,
1,FILOSOFIA,FILOSOFIA MODERNA,7,ENEM 2021 PPL -- FIL,"**

Polemizando contra a tradicional tese aristotélica, que via na sociedade
o resultado de um instinto primordial, Hobbes sustenta que no gênero
humano, diferentemente do animal, não existe sociabilidade instintiva.
Entre os indivíduos não existe um amor natural, mas somente uma
explosiva mistura de temor e necessidade recíprocos que, se não fosse
disciplinada pelo Estado, originaria uma incontrolável sucessão de
violências e excessos.

 

Referente à constituição da sociedade civil, considere, respectivamente,
o correto posicionamento de Aristóteles e Hobbes:",Instrumento artificial para a realização da justiça e forma de legitimação do exercício da coerção e da violência.,Realização das disposições naturais do homem e artifício necessário para frear a natureza humana.,Resultado involuntário da ação de cada indivíduo e anulação dos impulsos originários presentes na natureza humana.,Objetivação dos desejos da maioria e representação construída para possibilitar as relações interpessoais.,Realização da razão e expressão da vontade dos governados.,B,
1,FILOSOFIA,FILOSOFIA MODERNA,8,ENEM 2019 -- FIL,"**

Dizem que Humboldt, naturalista do século XIX, maravilhado pela
geografia, flora e fauna da região sul-americana, via seus habitantes
como se fossem mendigos sentados sobre um saco de ouro, referindo-se a
suas incomensuráveis riquezas naturais não exploradas. De alguma
maneira, o cientista ratificou nosso papel de exportadores de natureza
no que seria o mundo depois da colonização ibérica: enxergou-nos como
territórios condenados a aproveitar os recursos naturais existentes.

ACOSTA, A. Bem viver: uma oportunidade para imaginar outros mundos. São
Paulo: Elefante, 2016 (adaptado).

 

A relação entre ser humano e natureza ressaltada no texto refletia a
permanência da seguinte corrente filosófica:",Relativismo cognitivo.,Materialismo dialético.,Racionalismo cartesiano.,Pluralismo epistemológico.,Existencialismo fenomenológico.,B,
1,HISTÓRIA,ERA VARGAS,1,UEA 2021 -- HIS,"**

Em 1937 houve o golpe que implantou o Estado Novo, cuidadosamente
preparado, pois Vargas fazia aprovar inúmeras medidas repressivas no
Congresso Nacional, previamente. A ditadura, de fortes colorações
fascistas, inspirava-se nas doutrinações direitistas que grassavam pelo
mundo. Partidos fechados, nova Constituição de moldes fascistas,
censura, repressão policial violenta, tortura e os demais ingredientes
típicos das ditaduras.

(Carlos Fico. In: Carlos Guilherme Mota (org.). Viagem incompleta: a
experiência brasileira (1500-2000) -- a grande transação, 2013.
Adaptado.)

 

A justificativa imediata apresentada para legitimar o referido golpe de
Estado foi","um falso plano de tomada do poder pelos comunistas, forjado por militares e pelo partido de direita ""integralista"".","um movimento político pela continuidade de Vargas no governo --- o ""queremismo"", liderado pelos sindicatos e por alguns políticos populistas.","uma tentativa fracassada de tirar Vargas do poder, organizada pela União Democrática Nacional (UDN) e por militares.","uma conspiração para assassinar Vargas, planejada por políticos antigetulistas com apoio da agência de inteligência norte-americana (CIA).","uma marcha pelo país para incitar o povo contra o governo, comandada por políticos da Aliança Liberal e pelos tenentistas.",A,
1,HISTÓRIA,ERA VARGAS,2,ENEM 2021 DIG -- HIS,"**

O governo Vargas, principalmente durante o Estado Novo (1937-1945),
pretendeu construir um Estado capaz de criar uma nova sociedade. Uma
dimensão-chave desse projeto tinha no território seu foco principal. Não
por acaso, foram criadas então instituições encarregadas de fornecer
dados confiáveis para a ação do governo, como o Conselho Nacional de
Geografia, o Conselho Nacional de Cartografia, o Conselho Nacional de
Estatística e o Instituto Brasileiro de Geografia e Estatística (IBGE),
este de 1938.

LIPPI L. A conquista de Oeste Deponivel em http fcpdoc fgv be Acesso em
7 rov 2014 (adaptado)

 

A criação dessas instituições pelo governo Vargas representava uma
estratégia politica de",levantar informações para a preservação da paisagem dos sertões.,controlar o crescimento exponencial da população brasileira.,obter conhecimento científico das diversidades regionais.,conter o fluxo migratório do campo para a cidade.,propor a criação de novas unidades da federação.,D,
1,HISTÓRIA,ERA VARGAS,3,ENEM 2020 DIG -- HIS,"**

Mesmo com a instalação da quarta emissora no Rio de Janeiro, a Rádio
Educadora, em janeiro de 1927, a música popular ainda não desfrutava
desse meio de comunicação para se tornar mais conhecida. Renato Murce,
um dos maiores radialistas de todos os tempos, registrou, no seu
livro *Nos bastidores do rádio,* que as emissoras veiculavam apenas ""um
certo tipo de cultura, com uma programação quase só da chamada música
erudita, conferências maçantes e palestras destituídas de interesse"". E
acrescentou: ""Nada de música popular. Em samba, então, nem era bom
falar"".

CABRAL, S. A MPB na Era do Rádio. São Paulo: Moderna, 1996.

 

A situação descrita no texto alterou-se durante o regime do Estado Novo,
porque o meio de comunicação foi instrumentalizado para",exportar as manifestações folclóricas nacionais.,ampliar o alcance da propaganda político-ideológica.,substituir as comemorações cívicas espontâneas.,atender às demandas das elites oligárquicas.,favorecer o espaço de mobilização social.,D,
1,HISTÓRIA,ERA VARGAS,4,ENEM 2019 PPL -- HIS,"**

A depressão que afetou a economia mundial entre 1929 e 1934 se anunciou,
ainda em 1928, por uma queda generalizada nos preços agrícolas
internacionais. Mas o fator mais marcante foi a crise financeira
detonada pela quebra da Bolsa de Nova Iorque.

Disponível em: http://cpdoc.fgv.br. Acesso em: 20 abr. 2015 (adaptado).

 

Perante o cenário econômico descrito, o Estado brasileiro assume, a
partir de 1930, uma política de incentivo à",industrialização interna para substituir as importações.,nacionalização de empresas estrangeiras atingidas pela crise.,venda de terras a preços acessíveis para os pequenos produtores.,entrada de imigrantes para trabalhar nas indústrias de base recém-criadas.,abertura de linhas de financiamento especial para empresas do setor terciário.,E,
1,HISTÓRIA,ERA VARGAS,5,UECE 2018 -- HIS,"**

Em 1º de maio de 1943, em cerimônia realizada no Rio de Janeiro, no
estádio de São Januário, que estava lotado para as comemorações do dia
do Trabalho, o Presidente Getúlio Vargas sancionou o Decreto-Lei nº
5.452 que criou a CLT.  

 

Sobre esse fato, é correto afirmar que",permitiu ao Brasil se afastar das forças do eixo e se aproximar dos aliados com quem combateria lado-a-lado na Itália durante a fase final da segunda Grande Guerra Mundial.,"estabeleceu o Código de Leis de Transporte que proporcionou o predomínio do transporte rodoviário sobre o ferroviário, tal como é hoje, e a grande dependência do país em relação aos combustíveis fósseis.",garantiu a inserção dos direitos trabalhistas na legislação brasileira como forma de controlar o operariado urbano e conter possíveis movimentos de esquerda que pleiteavam o poder aos trabalhadores.,"possibilitou o estabelecimento de um regime ditatorial, também apoiado na Constituição de 1937, conhecida como ""a polaca"", que instituiu a Comissão de Luta ao Terrorismo, para combater os trabalhadores grevistas no Brasil.",,C,
1,HISTÓRIA,ERA VARGAS,6,ENEM 2017 LIB -- HIS,"**

 Getúlio libertou o povo, e são 8 horas de trabalho e só. Não tinha que
trabalhar dia e noite mais não. Getúlio é que fez as leis. A princesa
Isabel assinou a libertação, mas quem nos libertou do jugo da
escravatura, do chicote, do tronco, foi Getúlio, Getúlio Dorneles
Vargas. Papai falava assim: ""Meu filho. Nunca houve um modo de governo
igual a esse, meu filho"".

Relato de Cornélio Cancino, 82 anos, descendente de ex-escravos, Juiz de
Fora (MG), 9 maio 1995. In: MATTOS, H.; RIOS, A. L. (Org.). Memórias do
cativeiro: família, trabalho e cidadania no pós-Abolição. Rio de
Janeiro: Civilização Brasileira, 2005 (adaptado)

 

A construção da memória apresentada no texto remete ao seguinte aspecto
da referida experiência política:","Fortalecimento da ideologia oficial, limitada à dimensão da escola.","Legitimação de coligações partidárias, vinculadas à utilização do rádio.","Estabelecimento de direitos sociais, associados à propaganda do Estado.","Enaltecimento do sentimento pátrio, ligado à consolidação da democracia.","Desenvolvimento de serviços públicos, submetidos à direção dos coronéis.",B,
1,HISTÓRIA,ERA VARGAS,7,UERJ 2024 -- HIS,"![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia01_image4.webp)

memorialdademocracia.com.br

 

Criada durante o governo de Getúlio Vargas (1950-1954), em um contexto
de intensos debates e mobilizações associados à campanha ""O petróleo é
nosso"", a Petrobras se vinculou, naquela época, à valorização da
""bandeira nacionalista"", conforme se observa no cartaz.

 

No que diz respeito à exploração do petróleo, essa valorização esteve
manifesta na seguinte atribuição da empresa:","monopólio estatal da extração, do refino e do transporte","regulação fiscal da produção, dos insumos e da tributação","controle institucional da distribuição, da importação e da exportação","supervisão administrativa da mão de obra, de treinamentos e da terceirização",,B,dia01_image4.webp
1,HISTÓRIA,ERA VARGAS,8,ENEM 2022 -- HIS,"**

**Decreto-Lei n. 1 949, de 27/12/1937**

    Art. 1º Fica criado o Departamento de Imprensa e Propaganda (DIP),
diretamente subordinado ao presidente da República.

    Art. 2º O DIP tem por fim:

h\) coordenar e incentivar as relações da imprensa com os poderes
públicos no sentido de maior aproximação da mesma com os fatos que se
ligam aos interesses nacionais;

 

n\) autorizar mensalmente a devolução dos depósitos efetuados pelas
empresas jornalísticas para a importação de papel para imprensa, uma vez
demonstrada, a seu juízo, a eficiência e a utilidade pública dos jornais
ou

periódicos por elas administrados ou dirigidos.

BRASIL apud CARONE E A Terçeira República (1937-1945) São Paulo: Difel,
1982 (adaptado)

 

Com base nos trechos do decreto, as finalidades do órgão criado
permitiram ao governo promover o(a)",diversificação da opinião pública.,mercantilização da cultura popular.,controle das organizações sindicais.,cerceamento da liberdade de expressão.,privatização dos meios de comunicação.,B,
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,1,ENEM 2017 PPL -- MA,"**T

Uma equipe de ambientalistas apresentou um mapa de uma reserva ambiental
em que faltava a especificação da escala utilizada para a sua confecção.
O problema foi resolvido, pois um dos integrantes da equipe lembrava-se
de que a distância real de 72 km, percorrida na reserva, equivalia a 3,6
cm no mapa.

**Qual foi a escala utilizada na confecção do mapa?**",1 : 20,1 : 2 000,1 : 20 000,1 : 200 000,1 : 2 000 000,E,
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,2,ENEM 2009 -- MAT,"**

Uma escola lançou uma campanha para seus alunos arrecadarem, durante 30
dias, alimentos não perecíveis para doar a uma comunidade carente da
região. Vinte alunos aceitaram a tarefa e nos primeiros 10 dias
trabalharam 3 horas diárias, arrecadando 12 kg de alimentos por dia.
Animados com os resultados, 30 novos alunos somaram-se ao grupo, e
passaram a trabalhar 4 horas por dia nos dias seguintes até o término da
campanha.

Admitindo-se que o ritmo de coleta tenha se mantido constante, a
quantidade de alimentos arrecadados ao final do prazo estipulado seria
de",920 kg.,800 kg.,720 kg.,600 kg.,570 kg.,A,
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,3,ENEM 2015 -- MAT,"**

Para economizar em suas contas mensais de água, uma família de 10
pessoas deseja construir um reservatório para armazenar a água captada
das chuvas, que tenha capacidade suficiente para abastecer a família por
20 dias. Cada pessoa da família consome, diariamente, 0,08 m³ de água.

Para que os objetivos da família sejam atingidos, a capacidade mínima,
em litros, do reservatório a ser construído deve ser",16\.,800\.,1 600.,8 000.,16 000.,E,
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,4,ENEM 2012 -- MAT,"**

Um biólogo mediu a altura de cinco árvores distintas e representou-as em
uma mesma malha quadriculada, utilizando escalas diferentes, conforme
indicações na figura a seguir.

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia02_image6.webp)

Qual é a árvore que apresenta a maior altura real?",I,II,III,IV,V,D,dia02_image6.webp
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,5,ENEM 2020 -- MAT,"**

O proprietário de um apartamento decidiu instalar porcelanato no piso da
sala. Essa sala tem formato retangular com 3,2 m de largura e 3,6 m de
comprimento. As peças do porcelanato têm formato de um quadrado com lado
medindo 80 cm. Esse porcelanato é vendido em dois tipos de caixas, com
os preços indicados a seguir.

-   Caixas do tipo A: 4 unidades de piso, R\$ 35,00;

-   Caixas do tipo B: 3 unidades de piso, R\$ 27,00.

Na instalação do porcelanato, as peças podem ser recortadas e devem ser
assentadas sem espaçamento entre elas, aproveitando-se ao máximo os
recortes feitos.

A compra que atende às necessidades do proprietário, proporciona a menor
sobra de pisos e resulta no menor preço é",5 caixas do tipo A.,1 caixa do tipo A e 4 caixas do tipo B.,3 caixas do tipo A e 1 caixa do tipo B.,5 caixas do tipo A e 1 caixa do tipo B.,6 caixas do tipo B.,C,
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,6,ENEM 2022 -- MAT,"**

O pacote básico de um jogo para smartphone, que é vendido a R\$ 50,00,
contém 2 000 gemas e 100 000 moedas de ouro, que são itens utilizáveis
nesse jogo.\
A empresa que comercializa esse jogo decidiu criar um pacote especial
que será vendido a R\$ 100,00 e que se diferenciará do pacote básico por
apresentar maiores quantidades de gemas e moedas de ouro. Para estimular
as vendas desse novo pacote, a empresa decidiu inserir nele 6 000 gemas
a mais, em relação ao que o cliente teria caso optasse por comprar, com
a mesma quantia, dois pacotes básicos.

A quantidade de moedas de ouro que a empresa deverá inserir ao pacote
especial, para que seja mantida a mesma proporção existente entre as
quantidades de gemas e de moedas de ouro contidas no pacote básico, é",50 000.,100 000.,200 000.,300 000.,400 000.,E,
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,7,ENEM 2015 -- MAT,"**

Alguns medicamentos para felinos são administrados com base na
superfície corporal do animal. Foi receitado a um felino pesando 3,0 kg
um medicamento na dosagem diária de 250 mg por metro quadrado de
superfície corporal.

O quadro apresenta a relação entre a massa do felino, em quilogramas, e
a área de sua superfície corporal, em metros quadrados.

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia02_image5.webp)

**A dose diária, em miligramas, que esse felino deverá receber é de**","0,624.","52,0.","156,0.","750,0.","1 201,9.",B,dia02_image5.webp
2,MATEMÁTICA,RAZÃO E PROPORÇÃO,8,ENEM 2012 -- MAT,"**

Uma mãe recorreu à bula para verificar a dosagem de um remédio que
precisava dar a seu filho. Na bula, recomendava-se a seguinte dosagem: 5
gotas para cada 2 kg de massa corporal a cada 8 horas.

Se a mãe ministrou corretamente 30 gotas do remédio a seu filho a cada 8
horas, então a massa corporal dele é de",12 kg.,16 kg.,24 kg.,36 kg.,75 kg.,A,
2,LINGUAGENS,INTERPRETAÇÃO DE ASPECTOS DO TEXTO,1,ENEM 2018 PPL -- LIN,"**

Ocorre que a grande obra nunca é apenas a tradução do engenho e arte do
seu autor, seja este escritor, filósofo, cientista, pintor, músico,
arquiteto, escultor, cineasta. Em geral, a grande obra é também, ou
mesmo principalmente, a expressão do clima sociocultural, intelectual,
científico, filosófico e artístico da época, conforme se expressa em
alguma coletividade, grupo social, etnia, gênero ou povo.

IANNI, O. Variações sobre arte e ciência. Tempo Social, n. 1, jun. 2004.

O fragmento define o que é uma grande obra de arte. Como estratégia de
construção do texto, o autor faz uso recorrente de",enumerações para sustentar o ponto de vista apresentado.,repetições para retificar as características do objeto descrito.,generalizações para sintetizar as ideias expostas.,adjetivações para descrever a obra caracterizada.,sinonímias para retomar as características da atividade autoral.,A,
2,LINGUAGENS,INTERPRETAÇÃO DE ASPECTOS DO TEXTO,2,ENEM 2013 PPL -- LIN,"**

**Como ganhar qualquer discussão**

A verdade nem sempre depende de fatos --- nos jornais, no Congresso ou
no boteco, ela é frequentemente empacotada com táticas perversas e
milenares. Conhecer essas técnicas é um bom jeito de se defender contra
elas (e fazer a sua opinião prevalecer).\
1. Capte a benevolência --- Siga a dica da retórica romana (captatio
benevolentiae) e adule o interlocutor.\
2. Exagere o argumento do adversário --- É a ""técnica do espantalho"",
também chamada de ampliação indevida pelo filósofo Arthur Schopenhauer.\
3. Entre na onda --- Concorde com parte dos argumentos do outro para, a
partir daí, traçar a própria conclusão.

Outras dicas do mal:

-   Mantenha a calma (o tom de fala vale mais que bons argumentos).

-   Invalide as opiniões do adversário, desqualificando-o sem
questioná-lo.

-   Repita o argumento do outro, mas agora a seu favor.

-   Revele que está usando uma tática para ganhar a discussão (aproveite
para fingir que você venceu).

NARLOCH, L. Disponível em: http://super.abril.com.br. Acesso em: 27 out.
2011 (fragmento).

O fragmento, retirado de uma revista de divulgação científica,
constrói-se em tom de humor, a partir de uma linguagem lúdica e
despojada. O apelo a esse recurso expressivo é adequado para essa
situação comunicativa, porque","converge para a subjetividade, característica desse tipo de periódico.",segue parâmetros textuais semelhantes aos das publicações científicas.,confirma o próprio periódico como meio de comunicação de massa.,atende a um leitor interessado em expandir conhecimento teórico.,contraria o uso previsto para o registro formal da língua portuguesa.,C,
